Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c_shared/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  18500 |loss   0.05 |n_ep  4231 |ep_len   52.3 |ep_rew   0.40 |raw_ep_rew   5.16 |env_step 148000 |time 10:49 rem 574:29
iter  19000 |loss  -0.06 |n_ep  4316 |ep_len   36.1 |ep_rew  -0.00 |raw_ep_rew   5.20 |env_step 152000 |time 11:06 rem 573:29
iter  19500 |loss  -0.07 |n_ep  4400 |ep_len   50.7 |ep_rew   0.35 |raw_ep_rew   4.33 |env_step 156000 |time 11:23 rem 572:59
iter  20000 |loss  -0.11 |n_ep  4486 |ep_len   51.7 |ep_rew   0.42 |raw_ep_rew   3.85 |env_step 160000 |time 11:40 rem 572:16
iter  20500 |loss  -0.09 |n_ep  4570 |ep_len   45.2 |ep_rew   0.37 |raw_ep_rew   5.40 |env_step 164000 |time 11:58 rem 571:57
iter  21000 |loss   0.09 |n_ep  4646 |ep_len   45.2 |ep_rew   0.32 |raw_ep_rew   6.66 |env_step 168000 |time 12:15 rem 571:17
iter  21500 |loss   0.10 |n_ep  4727 |ep_len   45.4 |ep_rew   0.37 |raw_ep_rew   7.83 |env_step 172000 |time 12:32 rem 570:44
iter  22000 |loss  -0.00 |n_ep  4806 |ep_len   45.5 |ep_rew   0.37 |raw_ep_rew   7.01 |env_step 176000 |time 12:49 rem 570:06
iter  22500 |loss   0.01 |n_ep  4884 |ep_len   50.7 |ep_rew   0.47 |raw_ep_rew   6.90 |env_step 180000 |time 13:06 rem 569:46
iter  23000 |loss  -0.04 |n_ep  4963 |ep_len   45.3 |ep_rew   0.36 |raw_ep_rew   7.46 |env_step 184000 |time 13:25 rem 569:56
iter  23500 |loss  -0.07 |n_ep  5040 |ep_len   51.4 |ep_rew   0.47 |raw_ep_rew   6.85 |env_step 188000 |time 13:42 rem 569:25
iter  24000 |loss   0.07 |n_ep  5115 |ep_len   51.1 |ep_rew   0.51 |raw_ep_rew   7.02 |env_step 192000 |time 13:58 rem 568:24
iter  24500 |loss   0.05 |n_ep  5205 |ep_len   47.2 |ep_rew   0.34 |raw_ep_rew   4.96 |env_step 196000 |time 14:15 rem 567:26
iter  25000 |loss   0.01 |n_ep  5288 |ep_len   47.6 |ep_rew   0.36 |raw_ep_rew   5.56 |env_step 200000 |time 14:32 rem 567:22
iter  25500 |loss   0.11 |n_ep  5369 |ep_len   45.4 |ep_rew   0.32 |raw_ep_rew   7.69 |env_step 204000 |time 14:49 rem 566:38
iter  26000 |loss  -0.00 |n_ep  5450 |ep_len   46.8 |ep_rew   0.35 |raw_ep_rew   6.98 |env_step 208000 |time 15:06 rem 565:58
iter  26500 |loss   0.08 |n_ep  5533 |ep_len   48.0 |ep_rew   0.42 |raw_ep_rew   7.48 |env_step 212000 |time 15:23 rem 565:26
iter  27000 |loss   0.03 |n_ep  5607 |ep_len   54.0 |ep_rew   0.51 |raw_ep_rew   7.73 |env_step 216000 |time 15:40 rem 565:05
iter  27500 |loss   0.07 |n_ep  5689 |ep_len   50.3 |ep_rew   0.48 |raw_ep_rew   6.11 |env_step 220000 |time 15:57 rem 564:20
